ngram,freq,High,Low,Medium,None,max.value,max.prop
결/NNG,1,0,0,1,0,Medium,1
결국/NNG,2,0,0,0.5,0.5,Medium,0.5
결단/NNG,1,1,0,0,0,High,1
결론/NNG,2,0,0,1,0,Medium,1
결속/NNG,1,0,0,1,0,Medium,1
결심/NNG,4,0.25,0,0.75,0,Medium,0.75
결여/NNG,2,0,0.5,0.5,0,Low,0.5
결의/NNG,1,1,0,0,0,High,1
결정/NNG,2,0,0,1,0,Medium,1
결집/NNG,1,0,0,1,0,Medium,1
결코/MAG,2,0.5,0,0,0.5,High,0.5
결함/NNG,1,0,0,1,0,Medium,1
결혼/NNG,5,0.4,0.2,0.4,0,High,0.4
결혼식/NNG,1,0,0,1,0,Medium,1
겹치/VV,1,0,0,1,0,Medium,1
경각심/NNG,1,1,0,0,0,High,1
경고/NNG,1,1,0,0,0,High,1
경보/NNG,1,0,0,1,0,Medium,1
경색/NNG,1,0,0,1,0,Medium,1
경우/NNG,3,0,0,1,0,Medium,1
경쟁/NNG,2,0,0,1,0,Medium,1
경제/NNG,5,0.2,0,0.8,0,Medium,0.8
경제력/NNG,1,0,0,1,0,Medium,1
경주/NNP,1,0,0,1,0,Medium,1
경지/NNG,1,0,0,1,0,Medium,1
경직/NNG,1,0,0,1,0,Medium,1
경향/NNG,3,0,0,1,0,Medium,1
경험/NNG,3,0,0.333333333,0.666666667,0,Medium,0.666666667
곁/NNG,2,0,0,1,0,Medium,1
곁들이/VV,1,0,0,1,0,Medium,1
계/XSN,4,0,0,1,0,Medium,1
계기/NNG,2,0,0,1,0,Medium,1
계속/MAG,1,1,0,0,0,High,1
계속/NNG,2,0,0.5,0.5,0,Low,0.5
계통/NNG,1,0,0,1,0,Medium,1
계획/NNG,13,0,0.153846154,0.846153846,0,Medium,0.846153846
고*/EC,1,1,0,0,0,High,1
고/EC,120,0.083333333,0.133333333,0.683333333,0.1,Medium,0.683333333
고/JKQ,17,0.176470588,0.058823529,0.764705882,0,Medium,0.764705882
고/XPN,1,0,0,1,0,Medium,1
고갈/NNG,1,0,0,1,0,Medium,1
고개/NNG,2,0,0,1,0,Medium,1
고객/NNG,3,0.666666667,0,0.333333333,0,High,0.666666667
고구려/NNP,1,0,0,1,0,Medium,1
고급/NNG,1,0,0,1,0,Medium,1
고기/NNG,1,0,0,1,0,Medium,1
고달프/VA,1,0,0,1,0,Medium,1
고대/NNG,1,1,0,0,0,High,1
고도/NNG,1,0,0,1,0,Medium,1
고독/NNG,1,0,0,1,0,Medium,1
고되/VA,1,1,0,0,0,High,1
고루/XR,1,0,0,1,0,Medium,1
고르/VA,1,0,0,1,0,Medium,1
고리타분/XR,1,0,0,1,0,Medium,1
고립/NNG,1,0,0,1,0,Medium,1
고립무원/NNG,1,0,0,1,0,Medium,1
고마움/NNG,2,0,0,1,0,Medium,1
고무/NNG,2,0.5,0,0.5,0,High,0.5
고민/NNG,4,0,0.25,0.75,0,Medium,0.75
고발/NNG,3,1,0,0,0,High,1
고백/NNG,1,0,0,0,1,None,1
고비/NNG,1,0,0,1,0,Medium,1
고삐/NNG,1,0,0,1,0,Medium,1
고심/NNG,1,0,1,0,0,Low,1
고액/NNG,1,0,1,0,0,Low,1
고양/NNG,1,1,0,0,0,High,1
고유/NNG,1,0,0,1,0,Medium,1
고육지책/NNG,1,0,0,1,0,Medium,1
고육책/NNG,1,0,0,1,0,Medium,1
고이/VV,1,0,0,1,0,Medium,1
고자/EC,5,0,0,0.4,0.6,None,0.6
고장/NNG,1,0,0,1,0,Medium,1
고조/NNG,2,0,0,1,0,Medium,1
고질/NNG,2,0.5,0,0.5,0,High,0.5
고질병/NNG,1,0,0,1,0,Medium,1
고집/NNG,2,0,0,1,0,Medium,1
고충/NNG,1,0,0,1,0,Medium,1
고층/NNG,1,0,0,1,0,Medium,1
고치/VV,1,0,1,0,0,Low,1
고통/NNG,5,0,0,1,0,Medium,1
고향/NNG,1,0,0,1,0,Medium,1
곡/NNG,1,0,0,1,0,Medium,1
곤란/NNG,3,0,0,1,0,Medium,1
곤혹/NNG,1,0,0,1,0,Medium,1
곧/MAG,1,0,0,1,0,Medium,1
골/NNG,1,0,0,1,0,Medium,1
골고루/MAG,1,0,0,1,0,Medium,1
골절/NNG,1,0,1,0,0,Low,1
골치/NNG,1,0,0,1,0,Medium,1
곰/NNG,1,0,0,1,0,Medium,1
곳/NNG,6,0.166666667,0,0.833333333,0,Medium,0.833333333
공간/NNG,2,0,0.5,0.5,0,Low,0.5
공감/NNG,2,0,0,1,0,Medium,1
공감대/NNG,1,0,0,1,0,Medium,1
공급/NNG,1,0,1,0,0,Low,1
공기/NNG,1,0,0,1,0,Medium,1
공동체/NNG,1,0,0,1,0,Medium,1
공멸/NNG,1,0,0,1,0,Medium,1
공백/NNG,2,0,0.5,0.5,0,Low,0.5
공부/NNG,3,0,0.333333333,0.666666667,0,Medium,0.666666667
공산/NNG,1,1,0,0,0,High,1
공상/NNG,1,0,0,1,0,Medium,1
공식/NNG,2,0.5,0,0.5,0,High,0.5
공연/NNG,2,0,0,1,0,Medium,1
공연/XR,1,0,0,1,0,Medium,1
공유/NNG,1,0,0,1,0,Medium,1
공장/NNG,1,0,0,1,0,Medium,1
공장장/NNG,2,0,0,1,0,Medium,1
공조/NNG,1,0,0,1,0,Medium,1
공존/NNG,1,0,0,1,0,Medium,1
공짜/NNG,1,0,0,1,0,Medium,1
공통/NNG,1,0,0,1,0,Medium,1
공포/NNG,2,0,0,1,0,Medium,1
공화국/NNG,2,0,1,0,0,Low,1
과*/JKB,2,0,0,1,0,Medium,1
과/JC,26,0.076923077,0.153846154,0.769230769,0,Medium,0.769230769
과/JKB,11,0.090909091,0.272727273,0.636363636,0,Medium,0.636363636
과감/XR,2,0,0,1,0,Medium,1
과거/NNG,4,0,0.25,0.75,0,Medium,0.75
과다/NNG,2,0,0,1,0,Medium,1
과대/NNG,6,0,0,1,0,Medium,1
과도/NNG,1,0,0,1,0,Medium,1
과반수/NNG,1,0,0,1,0,Medium,1
과시/NNG,1,0,0,1,0,Medium,1
과연/MAG,1,0,0,1,0,Medium,1
과열/NNG,2,0,0.5,0.5,0,Low,0.5
과오/NNG,1,1,0,0,0,High,1
과외/NNG,2,0,1,0,0,Low,1
과욕/NNG,1,0,0,1,0,Medium,1
과잉/NNG,1,0,0,1,0,Medium,1
과장/NNG,2,0,0.5,0.5,0,Low,0.5
과제/NNG,5,0.2,0,0.8,0,Medium,0.8
과중/NNG,1,0,0,1,0,Medium,1
과중/XR,1,0,0,1,0,Medium,1
과학/NNG,1,0,0,1,0,Medium,1
관객/NNG,2,0,0,1,0,Medium,1
관계/NNG,7,0.142857143,0.428571429,0.428571429,0,Low,0.428571429
관계자/NNG,1,0,0,1,0,Medium,1
관광/NNG,2,0.5,0,0.5,0,High,0.5
관광객/NNG,1,0,1,0,0,Low,1
관람객/NNG,1,0,0,1,0,Medium,1
관리/NNG,1,0,0,1,0,Medium,1
관심/NNG,21,0.285714286,0.095238095,0.619047619,0,Medium,0.619047619
관심거리/NNG,1,0,0,1,0,Medium,1
관심사/NNG,1,0,0,1,0,Medium,1
관여/NNG,1,0,1,0,0,Low,1
관점/NNG,2,0,0,1,0,Medium,1
관철/NNG,1,0,0,1,0,Medium,1
관하/VV,2,0,0,1,0,Medium,1
광복/NNG,1,0,0,1,0,Medium,1
광활/XR,1,0,0,1,0,Medium,1
괜하/VA,1,0,0,0,1,None,1
괴로워하/VV,1,1,0,0,0,High,1
괴팍/XR,1,0,0,1,0,Medium,1
교단/NNG,1,0,0,1,0,Medium,1
교류/NNG,2,0,1,0,0,Low,1
교류설/NNG,1,0,0,1,0,Medium,1
교수/NNG,1,0,0,1,0,Medium,1
교역전/NNG,1,0,0,1,0,Medium,1
교육/NNG,3,0,0.333333333,0.666666667,0,Medium,0.666666667
교통/NNG,1,0,0,1,0,Medium,1
교포/NNG,1,0,0,1,0,Medium,1
교환전/NNG,1,0,0,1,0,Medium,1
교회/NNG,1,0,0,1,0,Medium,1
교훈/NNG,2,0,0.5,0.5,0,Low,0.5
구걸/NNG,1,0,0,1,0,Medium,1
구경/NNG,1,0,0,1,0,Medium,1
구나/EC,1,0,0,1,0,Medium,1
구별/NNG,1,0,0,1,0,Medium,1
구분/NNG,1,0,0,1,0,Medium,1
구상/NNG,1,0,1,0,0,Low,1
구석/NNG,1,0,0,1,0,Medium,1
구설수/NNG,1,1,0,0,0,High,1
구식/NNG,1,0,1,0,0,Low,1
구실/NNG,1,0,0,0,1,None,1
구애/NNG,1,0,1,0,0,Low,1
구입/NNG,1,0,0,1,0,Medium,1
구제/NNG,1,0,0,1,0,Medium,1
구체/NNG,2,0,0,1,0,Medium,1
구태/NNG,1,0,0,1,0,Medium,1
구토/NNG,1,0,0,1,0,Medium,1
구하/VV,1,0,0,1,0,Medium,1
국가/NNG,1,1,0,0,0,High,1
국교/NNG,1,0,0,1,0,Medium,1
국군/NNG,1,0,0,1,0,Medium,1
국기/NNG,1,0,0,1,0,Medium,1
국내/NNG,7,0,0,1,0,Medium,1
국무/NNG,1,1,0,0,0,High,1
국민/NNG,3,0.333333333,0,0.666666667,0,Medium,0.666666667
국민학생/NNG,1,0,0,1,0,Medium,1
국방/NNG,1,0,0,1,0,Medium,1
국보/NNG,1,1,0,0,0,High,1
국제/NNG,2,0,0,1,0,Medium,1
군/EF,1,0,0,1,0,Medium,1
군국주의/NNG,1,1,0,0,0,High,1
군도/NNG,1,0,0,1,0,Medium,1
군살/NNG,2,0,0.5,0.5,0,Low,0.5
굳/VV,1,0,1,0,0,Low,1
굳이/MAG,1,0,1,0,0,Low,1
굵/VA,1,0,0,1,0,Medium,1
굵직/XR,1,1,0,0,0,High,1
굶주리/VV,1,0,0,1,0,Medium,1
굶주림/NNG,1,0,0,1,0,Medium,1
굿/NNG,1,0,0,1,0,Medium,1
궁상/NNG,1,0,0,1,0,Medium,1
궁전/NNG,1,0,0,1,0,Medium,1
궁중/NNG,1,0,1,0,0,Low,1
궁핍/NNG,1,0,0,1,0,Medium,1
권/NNG,1,0,0,1,0,Medium,1
권/XSN,3,0,0,1,0,Medium,1
권고/NNG,1,0,0,1,0,Medium,1
권력/NNG,2,0,0.5,0.5,0,Low,0.5
권력욕/NNG,1,0,0,1,0,Medium,1
권위/NNG,1,0,0,1,0,Medium,1
권위주의/NNG,1,0,0,1,0,Medium,1
권하/VV,3,0,0,1,0,Medium,1
궤변/NNG,1,1,0,0,0,High,1
귀/NNG,2,0,0,1,0,Medium,1
귀엽/VA,1,0,0,1,0,Medium,1
규명/NNG,1,0,0,1,0,Medium,1
규모/NNG,2,0,0,1,0,Medium,1
규정/NNG,2,0,0.5,0.5,0,Low,0.5
규제/NNG,1,0,0,1,0,Medium,1
균/NNG,1,0,0,1,0,Medium,1
균형/NNG,1,0,0,1,0,Medium,1
그/MM,13,0.153846154,0.230769231,0.615384615,0,Medium,0.615384615
그/NP,10,0.2,0.1,0.5,0.2,Medium,0.5
그것/NP,3,0,0,1,0,Medium,1
그나마/MAG,1,0,0,0,1,None,1
그냥/MAG,1,0,0,1,0,Medium,1
그늘/NNG,2,0,0,1,0,Medium,1
그대로/MAG,5,0,0.2,0.8,0,Medium,0.8
그동안/NNG,3,0,0,1,0,Medium,1
그때/NNG,1,0,0,1,0,Medium,1
그래/IC,2,0,0,0.5,0.5,Medium,0.5
그래서/MAJ,7,0,0,0,1,None,1
그러*/VV,2,0,0,1,0,Medium,1
그러/VV,5,0,0,0.2,0.8,None,0.8
그러나/MAJ,47,0,0,0.085106383,0.914893617,None,0.914893617
그러니까/MAJ,1,0,0,1,0,Medium,1
그러므로/MAJ,1,0,0,1,0,Medium,1
그런/MM,4,0,0,0.75,0.25,Medium,0.75
그런데/MAJ,5,0,0,0,1,None,1
그럼/NNG,1,0,0,0,1,None,1
그렇*/VA,1,0,0,0,1,None,1
그렇/VA,12,0.333333333,0.166666667,0.25,0.25,High,0.333333333
그렇지만/MAJ,1,0,0,1,0,Medium,1
그룹/NNG,2,0,0,1,0,Medium,1
그르/VA,1,0,0,1,0,Medium,1
그르치/VV,1,0,0,1,0,Medium,1
그리/MAG,4,0,0.25,0.75,0,Medium,0.75
그리/VV,5,0.2,0,0.8,0,Medium,0.8
그리고/MAJ,2,0,0,1,0,Medium,1
그리하여/MAJ,1,1,0,0,0,High,1
그림/NNG,2,0,0,1,0,Medium,1
그분/NP,1,0,0,1,0,Medium,1
그야말로/MAG,1,0,0,0,1,None,1
그저/MAG,2,0,0.5,0,0.5,Low,0.5
그지없/VA,1,0,1,0,0,Low,1
그치/VV,3,0,0,1,0,Medium,1
극/NNG,2,0,0,1,0,Medium,1
극단/NNG,1,0,1,0,0,Low,1
극대/NNG,1,1,0,0,0,High,1
극복/NNG,3,0,0.333333333,0.666666667,0,Medium,0.666666667
극심/XR,1,0,0,1,0,Medium,1
극장/NNG,1,0,0,1,0,Medium,1
극찬/NNG,1,1,0,0,0,High,1
극히/MAG,2,0.5,0,0.5,0,High,0.5
근근이/MAG,1,0,0,1,0,Medium,1
근데/MAJ,1,0,0,0,1,None,1
근로/NNG,1,0,0,1,0,Medium,1
근면/NNG,1,0,0,1,0,Medium,1
근본/NNG,1,0,0,1,0,Medium,1
근성/NNG,1,0,0,1,0,Medium,1
근시안/NNG,1,0,0,1,0,Medium,1
근절/NNG,2,0.5,0,0.5,0,High,0.5
근현대/NNG,1,0,1,0,0,Low,1
글/NNG,2,0.5,0,0.5,0,High,0.5
글라스울/NNG,1,0,1,0,0,Low,1
글쎄/IC,1,0,0,0,1,None,1
글씨/NNG,1,0,0,1,0,Medium,1
금물/NNG,1,1,0,0,0,High,1
금세/MAG,1,0,0,0,1,None,1
금융/NNG,2,0,0,1,0,Medium,1
금하/VV,1,1,0,0,0,High,1
급/NNG,1,0,0,1,0,Medium,1
급격히/MAG,1,1,0,0,0,High,1
급급/XR,1,0,0,1,0,Medium,1
급기야/MAG,2,0,0,0,1,None,1
급속히/MAG,1,1,0,0,0,High,1
긍정/NNG,2,0.5,0,0.5,0,High,0.5
기/ETN,89,0.033707865,0.06741573,0.449438202,0.449438202,Medium,0.449438202
기/NNG,2,0,0,1,0,Medium,1
기/XSN,1,0,1,0,0,Low,1
기강/NNG,1,0,0,1,0,Medium,1
기구/XR,1,0,0,1,0,Medium,1
기금/NNG,1,0,0,1,0,Medium,1
기나길/VA,1,1,0,0,0,High,1
기냥/MAG,1,0,0,1,0,Medium,1
기념/NNG,1,0,0,1,0,Medium,1
기능/NNG,2,0,0,1,0,Medium,1
기다리/VV,1,0,0,1,0,Medium,1
기대/NNG,8,0.125,0,0.875,0,Medium,0.875
기대주/NNG,1,0,0,1,0,Medium,1
기도/NNG,1,1,0,0,0,High,1
기량/NNG,2,0.5,0,0.5,0,High,0.5
기록/NNG,3,0.666666667,0,0.333333333,0,High,0.666666667
기만/NNG,1,1,0,0,0,High,1
기반/NNG,1,0,0,1,0,Medium,1
기본/NNG,1,0,0,1,0,Medium,1
기분/NNG,2,0.5,0,0.5,0,High,0.5
기뻐하/VV,2,0,0,1,0,Medium,1
기쁘/VA,3,0,0,1,0,Medium,1
기쁨/NNG,1,0,0,1,0,Medium,1
기색/NNG,1,0,1,0,0,Low,1
기소/NNG,1,1,0,0,0,High,1
기술/NNG,1,0,0,1,0,Medium,1
기약/NNG,1,0,0,1,0,Medium,1
기억/NNG,1,0,0,1,0,Medium,1
기억나/VV,1,1,0,0,0,High,1
기업/NNG,4,0.5,0,0.5,0,High,0.5
기여/NNG,5,0.4,0.2,0.4,0,High,0.4
기운/NNG,1,0,0,1,0,Medium,1
기울이/VV,1,1,0,0,0,High,1
기적/NNG,1,1,0,0,0,High,1
기존/NNG,1,0,0,1,0,Medium,1
기준/NNG,2,0,0.5,0.5,0,Low,0.5
기증/NNG,1,0,0,1,0,Medium,1
기초/NNG,1,0,0,1,0,Medium,1
기피/NNG,2,0,0,0.5,0.5,Medium,0.5
기형아/NNG,1,1,0,0,0,High,1
기회/NNG,7,0.142857143,0,0.857142857,0,Medium,0.857142857
기회주의/NNG,1,0,0,1,0,Medium,1
기획/NNG,3,0,0,1,0,Medium,1
기획물/NNG,1,0,0,1,0,Medium,1
긴급/NNG,1,0,0,1,0,Medium,1
긴박/NNG,1,0,0,1,0,Medium,1
긴장/NNG,2,0,0,1,0,Medium,1
긴장감/NNG,1,0,0,1,0,Medium,1
길/NNG,8,0,0.125,0.875,0,Medium,0.875
길/VA,2,0.5,0,0.5,0,High,0.5
길들이/VV,1,0,0,1,0,Medium,1
길이*/MAG,1,1,0,0,0,High,1
길이/NNG,1,0,0,1,0,Medium,1
김/NNB,1,0,0,0,1,None,1
깃들/VV,1,0,0,1,0,Medium,1
깃발/NNG,1,0,0,1,0,Medium,1
깊/VA,4,0.5,0,0.5,0,High,0.5
까다롭/VA,1,0,1,0,0,Low,1
까닭/NNG,2,0,0,1,0,Medium,1
까맣/VA,1,0,0,1,0,Medium,1
까먹/VV,1,0,1,0,0,Low,1
까지/JX,22,0.136363636,0.045454545,0.090909091,0.727272727,None,0.727272727
깎/VV,2,0,1,0,0,Low,1
깎아지르/VA,1,0,0,1,0,Medium,1
깔리/VV,2,0,0,1,0,Medium,1
깜깜/MAG,1,0,0,1,0,Medium,1
깜찍/XR,1,0,0,1,0,Medium,1
깨/VV,2,0,0.5,0.5,0,Low,0.5
깨끗/XR,3,0,0,1,0,Medium,1
깨닫/VV,4,0,0,1,0,Medium,1
깨우치/VV,1,0,0,1,0,Medium,1
깨치/VV,2,0,0,1,0,Medium,1
꺼내/VV,3,0,0.333333333,0.666666667,0,Medium,0.666666667
꺼리/VV,1,0,0,1,0,Medium,1
꺼멓/VA,1,0,0,1,0,Medium,1
꺾이/VV,1,1,0,0,0,High,1
껍데기/NNG,1,1,0,0,0,High,1
껍질/NNG,1,0,0,1,0,Medium,1
께/JKB,3,0,0,1,0,Medium,1
꼬/VV,1,0,0,1,0,Medium,1
꼭/MAG,3,0,0,0.666666667,0.333333333,Medium,0.666666667
꼴/XSN,1,0,0,0,1,None,1
꼼꼼/XR,1,0,0,1,0,Medium,1
꼽/VV,2,0,0,1,0,Medium,1
꼽히/VV,2,0,0,1,0,Medium,1
꽃/NNG,3,0.333333333,0.333333333,0.333333333,0,High,0.333333333
꽃잎/NNG,1,0,1,0,0,Low,1
꽤/MAG,1,1,0,0,0,High,1
꾸/VV,1,0,0,1,0,Medium,1
꾸미/VV,1,0,0,1,0,Medium,1
꾸준히/MAG,2,0,0,1,0,Medium,1
꾸짖/VV,1,1,0,0,0,High,1
꾼/XSN,3,0.333333333,0,0.666666667,0,Medium,0.666666667
꿀/NNG,2,0,0.5,0.5,0,Low,0.5
꿀단지/NNG,1,0,0,1,0,Medium,1
꿀통/NNG,1,0,0,1,0,Medium,1
꿈/NNG,7,0.142857143,0,0.857142857,0,Medium,0.857142857
꿈꾸/VV,2,0,0,1,0,Medium,1
끄덕이/VV,1,0,0,1,0,Medium,1
끈끈/XR,1,0,0,1,0,Medium,1
끈적끈적/MAG,1,0,0,1,0,Medium,1
끊/VV,3,0,0,1,0,Medium,1
끊기/VV,1,0,0,1,0,Medium,1
끊임없이/MAG,2,0,0,1,0,Medium,1
끌/VV,8,0.25,0,0.75,0,Medium,0.75
끌어당기/VV,1,0,0,1,0,Medium,1
끝/NNG,5,0.4,0,0.4,0.2,High,0.4
끝내/VV,1,0,0,1,0,Medium,1
끼/NNG,1,0,0,1,0,Medium,1
